simTime,platformIndex,x,y,z,vx,vy,vz,damage
320.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
320.0,1,1975.8160979671084,-6815999.0027046595,1883031.9342657283,4192.3505859375,1561.2579345703125,5656.2734375,0.0
320.0,2,3908.377226906002,6830823.517057613,-1879483.897937023,-4182.43310546875,-1553.9342041015625,-5646.9423828125,0.0
330.0,1,43910.59696719368,-6800034.6268245075,1939488.5340117658,4194.60546875,1631.6173095703125,5635.04638671875,0.0
330.0,2,-37927.50397305291,6814933.647025795,-1935847.9826461435,-4184.7431640625,-1624.039794921875,-5625.87451171875,0.0
330.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
330.0,1,43909.98433746178,-6800034.928623493,1939487.4728944711,4194.42138671875,1631.5263671875,5634.72802734375,0.0
330.0,2,-37926.89700785963,6814933.9431905765,-1935846.9284921868,-4184.56103515625,-1623.95068359375,-5625.55859375,0.0
340.0,1,85863.6336518483,-6783368.782954627,1995725.4367285206,4196.30810546875,1701.7027587890625,5612.86474609375,0.0
340.0,2,-79782.23149236146,6798344.805992213,-1991994.014295049,-4186.505859375,-1693.8768310546875,-5603.85888671875,0.0
340.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
340.0,1,85863.02021940784,-6783369.097019322,1995724.37972276,4196.1240234375,1701.608154296875,5612.5478515625,0.0
340.0,2,-79781.62368984807,6798345.114242083,-1991992.964130711,-4186.32373046875,-1693.783935546875,-5603.5439453125,0.0
350.0,1,127831.85319115047,-6766003.084731793,2051737.3706258293,4197.642578125,1771.59423828125,5590.05078125,0.0
350.0,2,-121652.76039107531,6781058.577885906,-2047916.7548693833,-4187.90380859375,-1763.5233154296875,-5581.21435546875,0.0
350.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
350.0,1,127831.2390075671,-6766003.411024845,2051736.3178515586,4197.4580078125,1771.49609375,5589.73486328125,0.0
350.0,2,-121652.15180054233,6781058.898186191,-2047915.7088115744,-4187.72119140625,-1763.4268798828125,-5580.90087890625,0.0
360.0,1,169811.5664257402,-6747939.508630546,2107518.0243782653,4198.607421875,1841.284423828125,5566.6064453125,0.0
360.0,2,-163535.43500287904,6763076.902958803,-2103609.933147346,-4188.935546875,-1832.97216796875,-5557.9443359375,0.0
360.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
360.0,1,169810.9515431694,-6747939.8471134165,2107516.9759549694,4198.4228515625,1841.1826171875,5566.2919921875,0.0
360.0,2,-163534.82567422994,6763077.235273605,-2103608.891312537,-4188.75244140625,-1832.8721923828125,-5557.6318359375,0.0
370.0,1,211799.0800853501,-6729180.104232762,2163061.112949856,4199.203125,1910.7659912109375,5542.53515625,0.0
370.0,2,-205426.59531238978,6744401.793522085,-2159067.3034242005,-4189.60107421875,-1902.2161865234375,-5534.05078125,0.0
370.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
370.0,1,211798.46455562935,-6729180.454865534,2163060.0689964993,4199.01806640625,1910.6605224609375,5542.22216796875,0.0
370.0,2,-205425.9852952227,6744402.13781412,-2159066.2659283685,-4189.41796875,-1902.112548828125,-5533.73974609375,0.0
380.0,1,253790.69710028754,-6709726.9939859705,2218360.3783071777,4199.42822265625,1980.03173828125,5517.83984375,0.0
380.0,2,-247322.57725321874,6725035.33372067,-2214282.6462076064,-4189.900390625,-1971.2481689453125,-5509.53662109375,0.0
380.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
380.0,1,253790.08097552185,-6709727.356727424,2218359.3389422013,4199.24365234375,1979.9224853515625,5517.52783203125,0.0
380.0,2,-247321.96659741676,6725035.689951569,-2214281.613166313,-4189.716796875,-1971.1409912109375,-5509.2265625,0.0
390.0,1,295782.71691514703,-6689582.372954085,2273409.5901293345,4199.28369140625,2049.07421875,5492.5224609375,0.0
390.0,2,-289219.7130083682,6704979.679301285,-2269249.768910436,-4189.83251953125,-2040.06103515625,-5484.404296875,0.0
390.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
390.0,1,295782.10024756606,-6689582.747761746,2273408.555470657,4199.0986328125,2048.96142578125,5492.2119140625,0.0
390.0,2,-289219.1017639469,6704980.047431367,-2269248.7404387323,-4189.64892578125,-2039.9503173828125,-5484.09619140625,0.0
400.0,1,337771.4358025129,-6668748.5085604265,2328202.546514738,4198.7685546875,2117.886474609375,5466.58642578125,0.0
400.0,2,-331114.3313106874,6684237.05737228,-2323962.5065404293,-4189.39697265625,-2108.647705078125,-5458.6572265625,0.0
400.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
400.0,1,337770.8186444589,-6668748.895390474,2328201.516679711,4198.5830078125,2117.77001953125,5466.27734375,0.0
400.0,2,-331113.719527798,6684237.437360647,-2323961.4827528833,-4189.21337890625,-2108.533447265625,-5458.35009765625,0.0
410.0,1,379753.14717748,-6647227.740322709,2382733.0746844783,4197.88232421875,2186.4609375,5440.0341796875,0.0
410.0,2,-373002.75774427253,6662809.766156466,-2378414.722387028,-4188.59423828125,-2177.0009765625,-5432.2978515625,0.0
410.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
410.0,1,379752.52958140906,-6647228.139129954,2382732.0497898683,4197.697265625,2186.341064453125,5439.72705078125,0.0
410.0,2,-373002.14547319687,6662810.157961011,-2378413.7033977145,-4188.41064453125,-2176.883056640625,-5431.9921875,0.0
420.0,1,421724.1419128397,-6625022.479580145,2436995.031682242,4196.62548828125,2254.790771484375,5412.86962890625,0.0
420.0,2,-414881.3150466262,6640700.174736555,-2432600.308705151,-4187.42333984375,-2245.113525390625,-5405.3291015625,0.0
420.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
